id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; 
0050 ; FtrKatakatatoy ; clackercart ; ておしぐるま ; 學步推車 ; 学步推车 ; 장난감차 ; chariot de marche ; Spielwagen ; carrito carraca ; macchinina primi passi ; loopwagen ; тележка-каталка
2069 ; FtrEspressomaker ; stovetop espresso maker ; エスプレッソメーカー ; 濃縮咖啡機 ; 浓缩咖啡机 ; 에스프레소 메이커 ; cafetière italienne ; Espressokanne ; cafetera moka ; moka ; espressokan ; гейзерная кофеварка
206A ; FtrBunkbed ; bunk bed ; にだんベッド ; 上下鋪 ; 上下铺 ; 2층 침대 ; lit superposé ; Etagenbett ; litera ; letto a castello ; stapelbed ; двухъярусная кровать
20DF ; FtrChineseLampWall ; imperial dining lantern ; ちゅうかなランタン ; 中式燈籠 ; 中式灯笼 ; 중국풍 랜턴 ; lanterne restaurant chinois ; Asia-Restaurant-Laterne ; farol restaurante oriental ; lanterna ristorante cinese ; keizerlijke eettafellantaarn ; азиатский обед. фонарь
20E1 ; FtrToolhanger ; wall-mounted tool board ; かべかけツールハンガー ; 壁掛式工具掛勾 ; 壁挂式工具挂钩 ; 공구 걸이 판 ; panneau mural porte-outils ; Werkzeugbrett ; panel de herramientas ; pannello degli attrezzi ; gereedschapswand ; панель для инструментов
20E2 ; FtrAromadiffuser ; fragrance diffuser ; アロマディフューザー ; 香氛機 ; 香氛机 ; 아로마 디퓨저 ; diffuseur d'ambiance ; Duftspender ; difusor de aromas ; diffusore di fragranza ; geurverspreider ; аромадиффузор
20E3 ; FtrGardenwagon ; garden wagon ; えんげいワゴン ; 園藝推車 ; 园艺推车 ; 원예 왜건 ; brouette décorative ; Blumen-Bollerwagen ; carro de flores ; carretto con fiori ; handkar vol bloemen ; садовая тележка
227A ; FtrWoodenMirrorS ; wooden table mirror ; もくせいテーブルミラー ; 木製桌鏡 ; 木制桌面镜 ; 목제 테이블 거울 ; miroir de table en bois ; Holz-Tischspiegel ; espejo de mesa de madera ; specchio da tavolo di legno ; houten tafelspiegel ; зеркало из дерева на стол
251E ; FtrFashioncase ; clothes closet ; ファッションケース ; 衣物櫃 ; 服饰收纳盒 ; 패션 케이스 ; penderie en tissu ; Kleiderschrank ; armario de tela ; armadio in tela ; kledingkast ; платяной шкаф
255D ; FtrMobile ; mobile ; モビール ; 平衡吊飾 ; 婴儿吊饰 ; 유아용 모빌 ; mobile ; Mobile ; móvil para cuna ; giostrina ; mobiel ; мобиль
2560 ; FtrSignConstruction ; construction sign ; こうじちゅうかんばん ; 施工告示牌 ; 施工告示牌 ; 공사 간판 ; panneau de travaux ; Baustellenschild ; señal de obras ; cartello dei lavori in corso ; werkzaamhedenbord ; знак «Стройка»
2570 ; FtrBeachball ; beach ball ; ビーチボール ; 沙灘球 ; 沙滩球 ; 비치 볼 ; ballon de plage ; Wasserball ; pelota de playa ; palla da spiaggia ; strandbal ; пляжный мяч
2593 ; FtrTelephonepole ; utility pole ; でんちゅう ; 電線桿 ; 电线杆 ; 전신주 ; poteau électrique ; Leitungsmast ; poste eléctrico ; palo della corrente ; bovenleidingsmast ; столб
25AA ; FtrIronClosetLR ; iron closet ; アイアンクロゼット ; 鑄鐵衣櫃 ; 铸铁衣柜 ; 아이언 옷장 ; armoire en fer ; Eisenschrank ; armario de hierro ; armadietto di ferro ; ijzeren kledingkast ; железный шкаф
2626 ; FtrRefrigeratorMini ; mini fridge ; ミニれいぞうこ ; 迷你冰箱 ; 迷你冰箱 ; 미니 냉장고 ; mini réfrigérateur ; Minikühlschrank ; mininevera ; frigo compatto ; minikoelkast ; мини-холодильник
2627 ; FtrPaleCaster ; garbage bin ; キャスターペール ; 可推式垃圾桶 ; 可推式垃圾桶 ; 이동식 쓰레기통 ; poubelle roulettes ; Wertstofftonne ; contenedor de basura ; bidone con ruote ; vuilcontainer ; мусорный контейнер
2804 ; FtrAromastick ; fragrance sticks ; アロマスティック ; 擴香棒 ; 熏香条 ; 아로마 스틱 ; diffuseur à bâtonnets ; Stäbchen-Duftspender ; difusor de varillas ; diffusore a bastoncini ; geurstokjes ; ароматические палочки
29F6 ; FtrBambooStool ; bamboo stool ; たけのスツール ; 竹凳子 ; 竹凳子 ; 대나무 스툴 ; tabouret en bambou ; Bambushocker ; taburete de bambú ; sgabello di bambù ; bamboekruk ; бамбуковый табурет
29F7 ; FtrBambooMusic ; bamboo speaker ; たけのスピーカー ; 竹廣播喇叭 ; 竹制扬声器 ; 대나무 스피커 ; enceinte en bambou ; Bambus-Lautsprecher ; altavoz de bambú ; altoparlante di bambù ; bamboeluidspreker ; бамбуковая колонка
2EA5 ; FtrRockArch ; stone arch ; ストーンアーチ ; 石拱門 ; 石拱门 ; 석제 아치 ; arche en pierre ; Steinbogen ; megalito ; arco di pietra ; stenen boog ; каменная арка
2EA6 ; FtrPianoStreet ; street piano ; ストリートピアノ ; 街頭鋼琴 ; 街头钢琴 ; 스트리트 피아노 ; piano de rue ; Straßenklavier ; piano ambulante ; pianoforte di strada ; straatpiano ; уличное пианино
2EA7 ; FtrRockMonument ; stone tablet ; せきひ ; 石碑 ; 石碑 ; 비석 ; pierre gravée ; Gedenkstein ; placa de piedra ; stele incisa ; gedenksteen ; каменный монумент
2F6C ; FtrDalFigure ; DAL model plane ; ＤＡＬのひこうきもけい ; DAL飛機模型 ; DAL飞机模型 ; DAL 비행기 모형 ; maquette d'avion DAL ; DAL-Flugzeugmodell ; figura de hidroavión de DAL ; modellino di aereo DAL ; DAL-modelvliegtuig ; модель самолета DAL
2FAF ; FtrGameChair ; arcade seat ; ゲームセンターのイス ; 遊戲機中心椅子 ; 游戏机中心凳子 ; 오락실 의자 ; siège d'arcade ; Arcade-Hocker ; taburete apilable ; sgabello da sala giochi ; arcadekruk ; стул без спинки
302C ; FtrGardenTableSNatural ; natural square table ; ナチュラルなスクエアテーブル ; 自然風方桌 ; 自然风方桌 ; 내추럴 스퀘어 테이블 ; table carrée naturelle ; Funktionaltischchen ; mesita de madera natural ; tavolo naturale quadrato ; naturel houten tafeltje ; обычный квадратн. стол
3054 ; FtrCompassCarB ; Pocket modern camper ; キャンピングカーのもけいB ; 露營車模型B ; 露营车模型B ; 캠핑카 모형 B ; mini camping-car moderne ; Pocket-Alkovenmobil ; autocaravana moderna ; modellino camper moderno ; Pocket-kampeerauto ; модель автодома
3055 ; FtrCompassCarA ; Pocket vintage camper ; キャンピングカーのもけいA ; 露營車模型A ; 露营车模型A ; 캠핑카 모형 A ; mini camping-car classique ; Pocket-Kleinbus ; autocaravana clásica ; modellino camper classico ; Pocket-kampeerbusje ; модель ретро-автодома
3071 ; FtrWeddingChairL ; wedding bench ; ウェディングなベンチ ; 婚禮長椅 ; 婚礼长椅 ; 웨딩 벤치 ; banc de mariage ; Hochzeitsbank ; banco de boda ; panchina nuziale ; trouwbank ; свадебная скамья
3072 ; FtrWeddingArch ; wedding arch ; ウェディングなアーチ ; 婚禮拱門 ; 婚礼拱门 ; 웨딩 아치 ; arche de mariage ; Hochzeitstor ; arco de boda ; arco nuziale ; trouwboog ; свадебная арка
3073 ; FtrWeddingCake ; wedding cake ; ウェディングケーキ ; 婚禮蛋糕 ; 婚礼蛋糕 ; 웨딩 케이크 ; gâteau de mariage ; Hochzeitstorte ; tarta de boda ; torta nuziale ; trouwtaart ; свадебный торт
3074 ; FtrWeddingTableM ; wedding head table ; ウェディングなメインテーブル ; 婚禮主桌 ; 婚礼主桌 ; 웨딩 메인 테이블 ; table des mariés ; Hochzeitsfesttafel ; mesa novios de boda ; tavolo d'onore nuziale ; trouwfeesttafel ; стол для молодоженов
3075 ; FtrWeddingChairS ; wedding chair ; ウェディングなチェア ; 婚禮椅 ; 婚礼椅 ; 웨딩 체어 ; chaise de mariage ; Hochzeitsstuhl ; silla de boda ; sedia nuziale ; trouwstoel ; свадебный стул
3076 ; FtrWeddingTableL ; wedding table ; ウェディングなテーブル ; 婚禮桌 ; 婚礼桌 ; 웨딩 테이블 ; table de mariage ; Hochzeitstisch ; mesa de boda ; tavolo nuziale ; trouwtafel ; свадебный стол
3077 ; FtrWeddingFlowerWall ; wedding decoration ; ウェディングなかべかざり ; 婚禮壁飾 ; 婚礼挂饰 ; 웨딩 벽장식 ; déco de mariage ; Hochzeitswandschmuck ; florero de pared de boda ; decorazione nuziale ; trouwversiering ; свадебное украшение
3078 ; FtrWeddingCandle ; wedding candle set ; ウェディングなキャンドル ; 婚禮蠟燭 ; 婚礼蜡烛 ; 웨딩 양초 ; set de bougies de mariage ; Hochzeitskerzenset ; set de velas de boda ; set di candele nuziale ; trouwkaarsenset ; свадебные свечи
3079 ; FtrWeddingOrgan ; wedding pipe organ ; ウェディングなパイプオルガン ; 婚禮管風琴 ; 婚礼管风琴 ; 웨딩 파이프 오르간 ; orgue de mariage ; Hochzeitsorgel ; órgano de boda ; organo nuziale ; trouwpijporgel ; свадебный орган
307A ; FtrWeddingBoard ; wedding welcome board ; ウェディングなウェルカムボード ; 婚禮迎賓板 ; 婚礼欢迎牌 ; 웨딩 안내 간판 ; pancarte d'accueil mariage ; Hochzeitsschild ; cartel de boda ; tableau nuziale ; trouwwelkomstbord ; свадебный знак
307B ; FtrWeddingFlower ; wedding flower stand ; ウェディングなフラワースタンド ; 婚禮花柱 ; 婚礼花架 ; 웨딩 플라워 스탠드 ; arrangement floral mariage ; Hochzeitsblumenständer ; florero de boda ; portafiori nuziale ; trouwbloemenstaander ; свадебная жардиньерка
30FF ; FtrSwitch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; Nintendo Switch ; консоль Nintendo Switch
31C5 ; FtrWorldMap ; world map ; せかいちず ; 世界地圖 ; 世界地图 ; 세계 지도 ; mappemonde ; Weltkarte ; mapamundi ; planisfero ; wereldkaart ; карта мира
3295 ; FtrHwnStand ; spooky standing lamp ; ハロウィンなスタンド ; 萬聖節落地燈 ; 万圣节落地灯 ; 할로윈 스탠드 ; lampadaire Halloween ; Kürbis-Stehlampe ; farol colgante calabaza ; piantana brividi ; staande pompoenlamp ; жуткий торшер
3297 ; FtrHwnSweets ; spooky candy set ; ハロウィンなおかしプレート ; 萬聖節甜點盤 ; 万圣节甜点盘 ; 할로윈 사탕 플레이트 ; lot de bonbons Halloween ; Kürbis-Süßigkeiten-Set ; bandeja chuches calabaza ; set di dolcetti brividi ; pompoensnoepset ; жуткий набор сластей
33A6 ; FtrHwnDecorationWall ; spooky garland ; ハロウィンなガーランド ; 萬聖節掛旗 ; 万圣节挂饰 ; 할로윈 가랜드 ; guirlande Halloween ; Kürbis-Girlande ; guirnalda calabaza ; festone brividi ; pompoenslinger ; жуткая гирлянда
33A7 ; FtrHwnTablesetting ; spooky table setting ; ハロウィンテーブルセッティング ; 萬聖節桌上布置 ; 万圣节桌上布置 ; 할로윈 테이블 세팅 ; déco de table Halloween ; Kürbis-Tischgedeck ; servicio de mesa calabaza ; set da tavola brividi ; pompoenservies ; жуткая сервировка
33BA ; FtrCrsHelicopter ; RC helicopter ; ラジコンヘリコプター ; 遙控直升機 ; 遥控直升机 ; RC 헬리콥터 ; hélicoptère téléguidé ; Fernsteuer-Hubschrauber ; helicóptero teledirigido ; elicottero telecomandato ; helicopterspeeltje ; радиовертолет
33BB ; FtrCrsDogtoy ; puppy plushie ; いぬのぬいぐるみ ; 狗狗玩偶 ; 狗狗玩偶 ; 강아지 인형 ; peluche de chiot ; Plüschhündchen ; cachorro de peluche ; cagnolino di peluche ; puppyknuffel ; плюшевый щенок
33BC ; FtrCrsPresents ; gift pile ; プレゼントのやま ; 禮物堆 ; 礼物堆 ; 선물 더미 ; pile de cadeaux ; Geschenkeberg ; montón de regalos ; mucchio di regali ; stapel cadeautjes ; груда подарков
33BD ; FtrCrsBushdonoel ; Yule log ; ブッシュ・ド・ノエル ; 聖誕樹幹蛋糕 ; 圣诞树干蛋糕 ; 부쉬 드 노엘 ; bûche de Noël ; Bûche de Noël ; tronco dulce festivo ; rotolo dolce ; boomstamdessert ; рождественское полено
33BE ; FtrCrsPopupbook ; pop-up book ; しかけえほん ; 立體繪本 ; 立体绘本 ; 입체 그림책 ; livre animé ; Aufklapp-Bilderbuch ; libro animado ; libro 3D ; pop-upboek ; книжка-раскладушка
33BF ; FtrCrsRobot ; tin robot ; ブリキのロボット ; 白鐵機器人 ; 铁皮机器人 ; 양철 로봇 ; robot en métal ; Blechroboter ; robot de hojalata ; robot di latta ; tinnen robot ; жестяной робот
33C1 ; FtrCrsTent ; kids' tent ; キッズテント ; 兒童帳篷 ; 儿童帐篷 ; 어린이용 텐트 ; tente pour enfants ; Kinderzelt ; tienda de campaña infantil ; tenda per bambini ; kindertent ; детская палатка
33C2 ; FtrCrsCircuit ; mini circuit ; ミニサーキット ; 迷你賽車場 ; 迷你赛车场 ; 미니카 서킷 ; circuit miniature ; Autorennbahn ; circuito en miniatura ; pista giocattolo ; kleine racebaan ; мини-трек
33C3 ; FtrCrsDinosaur ; dinosaur toy ; きょうりゅうのおもちゃ ; 恐龍玩具 ; 恐龙玩具 ; 공룡 장난감 ; dinosaure jouet ; Spielzeug-Dino ; dinosaurio de juguete ; dinosauro giocattolo ; dinosaurusspeeltje ; игрушечный динозавр
33C4 ; FtrCrsDollhouse ; dollhouse ; ドールハウス ; 娃娃屋 ; 娃娃屋 ; 인형의 집 ; maison de poupée ; Puppenhaus ; casa de muñecas ; casa delle bambole ; poppenhuis ; кукольный домик
3487 ; FtrHarvestStand ; Turkey Day garden stand ; サンクスギビングベーススタンド ; 感恩節盆栽架 ; 感恩节盆栽架 ; 하베스트 가든 스탠드 ; socle fête du partage ; Schlemmfest-Sockel ; pedestal Día del Pavo ; piedistallo primizie ; smakenfestijnsokkel ; стойка «День изобилия»
3488 ; FtrHarvestFireplace ; Turkey Day hearth ; サンクスギビングなだんろ ; 感恩節壁爐 ; 感恩节壁炉 ; 하베스트 난로 ; âtre fête du partage ; Schlemmfest-Kamin ; chimenea Día del Pavo ; caminetto primizie ; smakenfestijnhaard ; камин «День изобилия»
3489 ; FtrHarvestDecoration ; Turkey Day decorations ; サンクスギビングデコレーション ; 感恩節裝飾 ; 感恩节装饰 ; 하베스트 데코레이션 ; déco fête du partage ; Schlemmfest-Dekoration ; decoración Día del Pavo ; decorazione primizie ; smakenfestijn-decoratieset ; декор ко Дню изобилия
348A ; FtrHarvestChairS ; Turkey Day chair ; サンクスギビングなチェア ; 感恩節椅 ; 感恩节椅 ; 하베스트 체어 ; chaise fête du partage ; Schlemmfest-Stuhl ; silla Día del Pavo ; sedia primizie ; smakenfestijnstoel ; стул «День изобилия»
348D ; FtrHarvestTableL ; Turkey Day table ; サンクスギビングなテーブル ; 感恩節桌 ; 感恩节桌 ; 하베스트 테이블 ; table fête du partage ; Schlemmfest-Tisch ; mesa comedor Día del Pavo ; tavolo primizie ; smakenfestijntafel ; стол «День изобилия»
34B0 ; FtrChocolateHeart ; chocolate heart ; ハートのチョコレート ; 愛心巧克力 ; 心形巧克力 ; 하트 초콜릿 ; cœur en chocolat ; Schokoladenherz ; caja bombones Enamorados ; ciocco-cuore ; chocoladehart ; сердце из шоколада
35C7 ; FtrCarnivalDecoration ; Festivale garland ; カーニバルなガーランド ; 狂歡節掛旗 ; 狂欢节挂饰 ; 카니발 가랜드 ; guirlande de carnaval ; Karnevalsgirlande ; guirnalda de Carnaval ; festone Carnevale ; carnavalsslinger ; карнавальная гирлянда
35CA ; FtrCarnivalParasol ; Festivale parasol ; カーニバルなパラソル ; 狂歡節陽傘 ; 狂欢节阳伞 ; 카니발 파라솔 ; parasol de carnaval ; Karnevalsschirm ; parasol de Carnaval ; parasole Carnevale ; carnavalsparasol ; карнавальный зонт
35CC ; FtrCarnivalBalloon ; Festivale balloon lamp ; カーニバルなバルーンランプ ; 狂歡節氣球燈 ; 狂欢节气球灯 ; 카니발 풍선 램프 ; lampe ballon carnaval ; Karnevalsballonlampe ; lámpara globo de Carnaval ; globo luminoso Carnevale ; carnavalsballonlamp ; карнавальная лампа-шар
35CD ; FtrCarnivalStall ; Festivale stall ; カーニバルなやたい ; 狂歡節路邊攤 ; 狂欢节小吃摊 ; 카니발 가판대 ; stand de carnaval ; Karnevalsstand ; tenderete de Carnaval ; bancarella Carnevale ; carnavalskraampje ; карнавальный лоток
35CE ; FtrCarnivalSurdo ; Festivale drum ; カーニバルなパーカッション ; 狂歡節打擊樂器 ; 狂欢节打击乐器 ; 카니발 퍼커션 ; tambour de carnaval ; Karnevalstrommel ; tambor de Carnaval ; tamburo Carnevale ; carnavalstrommel ; карнавальный барабан
35CF ; FtrCarnivalStage ; Festivale stage ; カーニバルなステージ ; 狂歡節舞台 ; 狂欢节舞台 ; 카니발 스테이지 ; scène de carnaval ; Karnevalsbühne ; escenario de Carnaval ; palcoscenico Carnevale ; carnavalspodium ; карнавальная сцена
35D0 ; FtrCarnivalConfetti ; Festivale confetti machine ; カーニバルなかみふぶきマシン ; 狂歡節撒紙片機 ; 狂欢节撒纸片机 ; 카니발 꽃가루 머신 ; canon à confettis carnaval ; Karnevalskonfettimaschine ; cañón de confeti Carnaval ; lanciacoriandoli Carnevale ; carnavalsconfettimachine ; карнав. конфетти-пушка
35D1 ; FtrCarnivalLantern ; Festivale lamp ; カーニバルなランプ ; 狂歡節燈 ; 狂欢节灯 ; 카니발 램프 ; lampe carnaval ; Karnevalslampe ; lamparita de Carnaval ; lampada Carnevale ; carnavalslamp ; карнавальная лампа
35D2 ; FtrCarnivalFlag ; Festivale flag ; カーニバルなフラッグ ; 狂歡節旗子 ; 狂欢节旗子 ; 카니발 플래그 ; drapeau de carnaval ; Karnevalsfahne ; estandarte de Carnaval ; stendardo Carnevale ; carnavalsvaandel ; карнавальный флаг
35FA ; FtrHarvestEnamelpod ; Turkey Day casserole ; サンクスギビングなキャセロール ; 感恩節砂鍋燉菜 ; 感恩节砂锅炖菜 ; 하베스트 캐서롤 ; plat à gratin fête du partage ; Schlemmfest-Bräter ; cazuela Día del Pavo ; casseruola primizie ; smakenfestijnpan ; утятница «День изобилия»
35FB ; FtrHarvestWheat ; Turkey Day wheat decor ; サンクスギビングなむぎかざり ; 感恩節麥子裝飾 ; 感恩节麦子装饰 ; 하베스트 밀 장식 ; décor de blé du partage ; Schlemmfest-Getreidedeko ; adorno trigo Día del Pavo ; ornamento primizie ; smakenfestijn-tarwebundel ; пшеница ко Дню изобилия
35FC ; FtrHarvestTablesetting ; Turkey Day table setting ; サンクスギビングテーブルウェア ; 感恩節桌上布置 ; 感恩节桌上布置 ; 하베스트 테이블 세팅 ; service fête du partage ; Schlemmfest-Tischgedeck ; servicio mesa Día del Pavo ; set da tavola primizie ; smakenfestijnservies ; посуда ко Дню изобилия
3605 ; FtrMarioShield ; Shell ; こうら ; 龜殼 ; 龟壳 ; 등껍질 ; carapace ; Koopa-Panzer ; caparazón ; guscio ; schild ; панцирь
3607 ; FtrMarioGroundobjectL ; large Mushroom Platform ; キノコちけいL ; 蘑菇地形L ; 蘑菇地形L ; 버섯 지형 L ; plateforme champignon XL ; Pilzplattform (L) ; plataforma champiñón XL ; piattaforma fungo grande ; groot paddenstoelplatform ; больш. гриб-платформа
3608 ; FtrMarioGroundobjectS ; small Mushroom Platform ; キノコちけいS ; 蘑菇地形S ; 蘑菇地形S ; 버섯 지형 S ; plateforme champignon ; Pilzplattform (S) ; plataforma champiñón ; piattaforma fungo piccola ; klein paddenstoelplatform ; малый гриб-платформа
3667 ; FtrSwitchLite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite ; Nintendo Switch Lite
366A ; FtrCrsSocksWallColor ; set of stockings ; かべかけソックス ; 壁掛式襪子 ; 壁挂式袜子 ; 벽걸이 양말 ; lot de chaussettes déco ; Wunschsocken-Set ; lote de calcetines de pared ; set di calze per regali ; sokkenset ; набор носков
36CD ; FtrRosebouquetHeart ; heart-shaped bouquet ; ハートのバラブーケ ; 愛心玫瑰花束 ; 心形玫瑰花束 ; 하트 장미 꽃다발 ; bouquet en forme de cœur ; Herz-Bouquet ; ramo de flores Enamorados ; bouquet a cuore ; hartvormig boeket ; букет в форме сердца
3804 ; FtrCushionWhoopee ; whoopee cushion ; ブーブークッション ; 放屁坐墊 ; 放屁坐垫 ; 방귀 쿠션 ; coussin péteur ; Pupskissen ; cojín de broma ; petofono ; scheetkussen ; подушка для розыгрыша
388C ; FtrWeddingBell ; nuptial bell ; ウェディングベル ; 結婚鐘 ; 结婚钟 ; 결혼식 종 ; cloche nuptiale ; Vermählungs-Glocke ; campana nupcial ; campana sposini ; liefdesbel ; брачный колокол
388D ; FtrWeddingRingpillow ; nuptial ring pillow ; リングピロー ; 戒枕 ; 戒枕 ; 결혼식 링 필로 ; coussin d'alliances nuptial ; Vermählungs-Ringkissen ; cojín con alianzas nupciales ; portanelli sposini ; liefdesringenkussentje ; подушечка с кольцами
0833 ; ToolScoop ; shovel ; スコップ ; 鏟子 ; 铲子 ; 삽 ; pelle ; Schaufel ; pala ; pala ; schep ; лопата
0949 ; ToolAngling ; fishing rod ; つりざお ; 釣竿 ; 钓竿 ; 낚싯대 ; canne à pêche ; Angel ; caña ; canna da pesca ; hengel ; удочка
094B ; ToolWatering ; watering can ; ジョウロ ; 澆花壺 ; 浇花壶 ; 물뿌리개 ; arrosoir ; Gießkanne ; regadera ; annaffiatoio ; gieter ; лейка
0B06 ; ToolSlingshot ; slingshot ; パチンコ ; 彈弓 ; 弹弓 ; 새총 ; lance-pierre ; Schleuder ; tirachinas ; fionda ; katapult ; рогатка
1698 ; ToolNetNormal ; net ; あみ ; 捕蟲網 ; 捕虫网 ; 잠자리채 ; filet ; Kescher ; red ; retino ; net ; сачок
1DA4 ; ToolStickMushroom ; mushroom wand ; キノコのステッキ ; 蘑菇棒 ; 蘑菇棒 ; 버섯 지팡이 ; baguette champignon ; Pilzstab ; varita champiñón ; bacchetta fungo ; paddenstoelstaf ; грибная палочка
1FF0 ; ToolNetStar ; star net ; スターなあみ ; 星星捕蟲網 ; 星星捕虫网 ; 별모양 잠자리채 ; filet étoilé ; Sternkescher ; red estrella ; retino stella ; sterrennet ; сачок со звездой
1FF1 ; ToolNetPattern ; colorful net ; カラフルなあみ ; 彩色捕蟲網 ; 彩色捕虫网 ; 컬러풀 잠자리채 ; filet coloré ; Kinderkescher ; red colorida ; retino colorato ; kleurrijk net ; яркий сачок
1FF2 ; ToolNetOutdoor ; outdoorsy net ; アウトドアなあみ ; 戶外捕蟲網 ; 户外捕虫网 ; 아웃도어 잠자리채 ; filet de rando ; Profi-Kescher ; red de acampada ; retino da campeggio ; kampeernet ; походный сачок
2117 ; ToolFishingrodColorful ; fish fishing rod ; おサカナつりざお ; 魚兒釣竿 ; 鱼儿钓竿 ; 물고기 낚싯대 ; canne à pêche poisson ; Fisch-Angel ; caña pececito ; canna pesciolino ; vissenhengel ; удочка с уткой
2118 ; ToolFishingrodDuck ; colorful fishing rod ; カラフルなつりざお ; 彩色釣竿 ; 彩色钓竿 ; 컬러풀 낚싯대 ; canne à pêche colorée ; Kinderangel ; caña multicolor ; canna da pesca colorata ; kleurrijke hengel ; яркая удочка
2119 ; ToolFishingrodOutdoor ; outdoorsy fishing rod ; アウトドアなつりざお ; 戶外釣竿 ; 户外钓竿 ; 아웃도어 낚싯대 ; canne à pêche de rando ; Profi-Angel ; caña de acampada ; canna da campeggio ; kampeerhengel ; походная удочка
2156 ; ToolWateringColorful ; colorful watering can ; カラフルなジョウロ ; 彩色澆花壺 ; 彩色浇花壶 ; 컬러풀 물뿌리개 ; arrosoir coloré ; Kinderkanne ; regadera colorida ; annaffiatoio colorato ; kleurrijke gieter ; яркая лейка
2157 ; ToolWateringElephant ; elephant watering can ; ゾウさんジョウロ ; 大象澆花壺 ; 大象浇花壶 ; 코끼리 물뿌리개 ; arrosoir éléphant ; Elefantenkanne ; regadera elefante ; annaffiatoio elefante ; olifantengieter ; лейка-слон
2158 ; ToolWateringOutdoor ; outdoorsy watering can ; アウトドアなジョウロ ; 戶外澆花壺 ; 户外浇花壶 ; 아웃도어 물뿌리개 ; arrosoir de rando ; Profi-Kanne ; regadera de acampada ; annaffiatoio da campeggio ; kampeergieter ; походная лейка
217F ; ToolScoopOutdoor ; outdoorsy shovel ; アウトドアなスコップ ; 戶外鏟子 ; 户外铲子 ; 아웃도어 삽 ; pelle de rando ; Profi-Schaufel ; pala de acampada ; pala da campeggio ; kampeerschep ; походная лопата
2180 ; ToolScoopPattern ; printed-design shovel ; がらものスコップ ; 花紋鏟子 ; 花纹铲子 ; 꽃무늬 삽 ; pelle design ; Designerschaufel ; pala con estampado ; pala con motivo stampato ; schep met patroon ; лопата с рисунком
2181 ; ToolScoopColorful ; colorful shovel ; カラフルなスコップ ; 彩色鏟子 ; 彩色铲子 ; 컬러풀 삽 ; pelle colorée ; Kinderschaufel ; pala colorida ; pala colorata ; kleurrijke schep ; яркая лопата
2183 ; ToolSlingshotOutdoor ; outdoorsy slingshot ; アウトドアなパチンコ ; 戶外彈弓 ; 户外弹弓 ; 아웃도어 새총 ; lance-pierre de rando ; Profi-Schleuder ; tirachinas de acampada ; fionda da campeggio ; kampeerkatapult ; походная рогатка
2184 ; ToolSlingshotColorful ; colorful slingshot ; カラフルなパチンコ ; 彩色彈弓 ; 彩色弹弓 ; 컬러풀 새총 ; lance-pierre coloré ; Kinderschleuder ; tirachinas colorido ; fionda colorata ; kleurrijke katapult ; яркая рогатка
1119 ; FtrDoorOrnamentWreathOrnament ; ornament wreath ; オーナメントのリース ; 裝飾花圈 ; 装饰花环 ; 오너먼트 리스 ; couronne décorative ; Dekotürkranz ; corona bolas decorativas ; ghirlanda con palline ; feestelijke krans ; праздничный венок
1282 ; FtrDoorPlateSkull ; skull doorplate ; ドクロなドアプレート ; 骷髏門牌 ; 骷髅门牌 ; 해골 문패 ; plaque tête de mort ; Totenkopftürschild ; placa pirata ; targa da porta teschio ; schedeldeurplaatje ; табличка с черепом
128F ; FtrDoorPlateBone ; bone doorplate ; ボーンなドアプレート ; 骨頭門牌 ; 骨头门牌 ; 뼈다귀 문패 ; plaque nonosse ; Hundeknochentürschild ; placa hueso ; targa da porta osso ; bottendeurplaatje ; табличка-косточка
1290 ; FtrDoorOrnamentIron ; iron doorplate ; アイアンなドアプレート ; 鑄鐵門牌 ; 铸铁门牌 ; 아이언 문패 ; plaque en fer forgé ; Gusseisentürschild ; placa hierro forjado ; targa da porta di ferro ; ijzeren deurplaatje ; железное украшение
129C ; FtrDoorOrnamentFish ; fish doorplate ; おサカナのドアプレート ; 魚兒門牌 ; 鱼儿门牌 ; 물고기 문패 ; plaque poisson ; Fischtürschild ; placa pez ; targa da porta pesce ; visdeurplaatje ; декоративная рыбка
14BD ; FtrDoorOrnamentPlateHeart ; heart doorplate ; ハートなドアプレート ; 愛心門牌 ; 爱心门牌 ; 하트 문패 ; plaque cœur ; Herztürschild ; placa corazón ; targa da porta cuore ; hartendeurplaatje ; табличка-сердечко
14BE ; FtrDoorOrnamentPlateInsect ; spider doorplate ; スパイダーなドアプレート ; 蜘蛛門牌 ; 蜘蛛门牌 ; 거미 문패 ; plaque toile d'araignée ; Spinnentürschild ; placa telaraña ; targa da porta ragnatela ; spinnendeurplaatje ; табличка с пауком
